dataSet,num_nodes,num_edges,dgl,tcgnn,pyg
GitHub,37700,615706,5.9754,88.8512,5.1352
artist,50515,1638396,6.2155,12.7987,11.1748
blog,88784,4186390,14.9196,100000000,27.1735
ell,203769,672479,5.6302,5.5326,7.8226
amazon,403394,9068096,28.8817,100000000,63.9401
amazon0505,410236,4878874,16.675,42.8751,39.4522
dd,334925,1686092,8.845,7.7291,18.273
yelp,716847,13954819,38.675,112.2281,100000000
comamazon,334863,1851744,9.7678,11.3992,19.5005
IGB_small,1000000,13068130,44.1058,52.2511,100000000
