dataSet,num_nodes,num_edges,sputnik,rode,tcgnn
144,144650,1074393,105.397865,0.077795,0.511
2D_27628_bjtcai,27629,442898,3.865254,0.028051,0.2094
2D_54019_highK,54020,996414,14.72991,0.048029,2.0791
333SP,3712816,11108633,0.00065,1.170202,10000000.0
3D_28984_Tetra,28985,599170,4.252023,0.030483,13.1281
3D_51448_3D,51449,1056610,13.360141,0.049478,20.5054
3Dspectralwave,680944,17165766,2334.513916,1.100493,10000000.0
3Dspectralwave2,292009,7307376,429.51239,0.474947,10000000.0
3dtube,45331,1629474,10.400381,0.122349,4.6407
598a,110972,741934,62.033092,0.04944,0.4021
a0nsdsil,80017,200021,32.260719,0.022541,21.8944
a2nnsnsl,80017,196115,32.259621,0.019786,21.6962
a5esindl,60009,145004,18.155443,0.016403,7.3912
adaptive,6815745,13624320,0.000643,1.764022,10000000.0
af_0_k101,503626,9027150,1277.037842,0.408704,10000000.0
af_1_k101,503626,9027150,1277.008179,0.409648,10000000.0
af_2_k101,503626,9027150,1277.020142,0.409475,10000000.0
af_3_k101,503626,9027150,1277.036987,0.409242,10000000.0
af_4_k101,503626,9027150,1277.001587,0.409514,10000000.0
af_5_k101,503626,9027150,1276.998169,0.409306,10000000.0
af_shell1,504856,9046865,1283.274658,0.414176,10000000.0
af_shell10,1508066,27090195,11446.116211,1.20008,10000000.0
af_shell2,504856,9046865,1283.190063,0.415539,10000000.0
af_shell3,504856,9046865,1283.20166,0.414944,10000000.0
af_shell4,504856,9046865,1283.246582,0.414966,10000000.0
af_shell5,504856,9046865,1283.236572,0.41455,10000000.0
af_shell6,504856,9046865,1283.263916,0.41455,10000000.0
af_shell7,504856,9046865,1283.260986,0.413654,10000000.0
af_shell8,504856,9046865,1283.295654,0.413776,10000000.0
af_shell9,504856,9046865,1283.2677,0.414797,10000000.0
ak2010,45293,108549,10.349756,0.019555,0.3538
Andrews,60001,410077,18.16358,0.032394,0.2989
AS365,3799276,11368076,0.000682,1.253078,10000000.0
as-caida,31380,106762,4.973514,0.016176,3.7952
ASIC_680k,682863,3871773,2347.035645,0.298816,66022.9219
as-Skitter,1696416,11095298,14481.416016,0.860282,10000000.0
astro-ph,16707,121251,1.419206,0.019238,0.2086
audikw_1,943696,39297771,4483.364258,3.043037,10000000.0
auto,448696,3314611,1013.371216,0.210029,1.3639
barrier2-1,113077,3805068,64.48465,0.284093,21.5376
barrier2-10,115626,3897557,67.432625,0.289907,34.5893
barrier2-11,115626,3897557,67.4319,0.290355,34.5568
barrier2-12,115626,3897557,67.429993,0.289616,34.594
barrier2-2,113077,3805068,64.488182,0.284115,21.5279
barrier2-3,113077,3805068,64.488136,0.28625,21.5242
barrier2-4,113077,3805068,64.486267,0.283197,21.5109
barrier2-9,115626,3897557,67.435829,0.292464,34.5332
bauru5727,40367,145019,8.226278,0.022902,0.1487
bbmat,38745,1771722,7.61057,0.080013,0.3478
bcsstk17,10975,219812,0.616778,0.018966,0.1528
bcsstk25,15440,133840,1.214064,0.016896,0.0684
bcsstk29,13993,316740,1.001459,0.02191,0.1257
bcsstk30,28925,1036208,4.245053,0.067408,0.3442
bcsstk31,35589,608502,6.407385,0.037821,0.1776
bcsstk32,44610,1029655,10.05882,0.059238,0.2648
bcsstk35,30238,740200,4.628304,0.044314,0.268
bcsstk36,23053,583096,2.698003,0.03449,0.1941
