dataSet,num_nodes,num_edges,tcgnn
windscreen,22693,752541,0.1737
mario002,389875,1167685,10000000
af_3_k101,503626,9027150,10000000
TSOPF_RS_b2383,38121,16171169,10000000
lowThrust_9,18045,114806,0.1451
c-64b,51036,384438,0.2684
soc-sign-Slashdot090221,82145,549202,1.4864
ted_A,10606,424587,0.2001
mark3jac060sc,27450,170695,0.1626
m14b,214766,1679018,10000000
EAT_RS,23220,325592,1.3435
vsp_mod2_pgp2_slptsk,101365,389368,0.8705
ins2,309413,1530448,10000000
af_shell4,504856,9046865,10000000
debr,1048577,2097149,10000000
smallworld,100001,499998,0.1383
lowThrust_10,18261,116074,0.1437
igbt3,10939,234006,0.2686
Ga10As10H30,113082,3114357,10000000
ca-AstroPh,18773,198110,0.8705
af_4_k101,503626,9027150,10000000
TSOPF_FS_b300_c1,29215,2203949,10000000
vanbody,47073,1191985,10000000
p2p-Gnutella31,62587,147892,0.1449
BenElechi1,245875,6698185,10000000
