dataSet,rows_,columns_,nonzeros_,sputnik,Sputnik_gflops,rode,ours_gflops
144, 144650, 144650, 1074393, 105.397865, 0.652396, 0.077795,883.873949
2D_27628_bjtcai, 27629, 27629, 442898, 3.865254, 7.333404, 0.028051,1010.490513
2D_54019_highK, 54020, 54020, 996414, 14.729910, 4.329320, 0.048029,1327.755350
333SP, 3712816, 3712816, 11108633, 0.000650, 1094446.583522, 1.170202,607.547041
3D_28984_Tetra, 28985, 28985, 599170, 4.252023, 9.018503, 0.030483,1257.967620
3D_51448_3D, 51449, 51449, 1056610, 13.360141, 5.061551, 0.049478,1366.718413
3Dspectralwave, 680944, 680944, 17165766, 2334.513916, 0.470594, 1.100493,998.288276
3Dspectralwave2, 292009, 292009, 7307376, 429.512390, 1.088844, 0.474947,984.682192
3dtube, 45331, 45331, 1629474, 10.400381, 10.027165, 0.122349,852.369114
598a, 110972, 110972, 741934, 62.033092, 0.765459, 0.049440,960.432373
a0nsdsil, 80017, 80017, 200021, 32.260719, 0.396809, 0.022541,567.918789
a2nnsnsl, 80017, 80017, 196115, 32.259621, 0.389073, 0.019786,634.368448
a5esindl, 60009, 60009, 145004, 18.155443, 0.511156, 0.016403,565.758886
adaptive, 6815745, 6815745, 13624320, 0.000643, 1355653.714063, 1.764022,494.300105
af_0_k101, 503626, 503626, 9027150, 1277.037842, 0.452404, 0.408704,1413.584422
af_1_k101, 503626, 503626, 9027150, 1277.008179, 0.452415, 0.409648,1410.326952
af_2_k101, 503626, 503626, 9027150, 1277.020142, 0.452411, 0.409475,1410.922135
af_3_k101, 503626, 503626, 9027150, 1277.036987, 0.452405, 0.409242,1411.727515
af_4_k101, 503626, 503626, 9027150, 1277.001587, 0.452417, 0.409514,1410.789719
af_5_k101, 503626, 503626, 9027150, 1276.998169, 0.452419, 0.409306,1411.506638
af_shell1, 504856, 504856, 9046865, 1283.274658, 0.451189, 0.414176,1397.954922
af_shell10, 1508066, 1508066, 27090195, 11446.116211, 0.151473, 1.200080,1444.714070
af_shell2, 504856, 504856, 9046865, 1283.190063, 0.451219, 0.415539,1393.368752
af_shell3, 504856, 504856, 9046865, 1283.201660, 0.451215, 0.414944,1395.367535
af_shell4, 504856, 504856, 9046865, 1283.246582, 0.451199, 0.414966,1395.292174
af_shell5, 504856, 504856, 9046865, 1283.236572, 0.451202, 0.414550,1396.692321
af_shell6, 504856, 504856, 9046865, 1283.263916, 0.451193, 0.414550,1396.692321
af_shell7, 504856, 504856, 9046865, 1283.260986, 0.451194, 0.413654,1399.717562
af_shell8, 504856, 504856, 9046865, 1283.295654, 0.451182, 0.413776,1399.306236
af_shell9, 504856, 504856, 9046865, 1283.267700, 0.451191, 0.414797,1395.862711
ak2010, 45293, 45293, 108549, 10.349756, 0.671237, 0.019555,355.257720
Andrews, 60001, 60001, 410077, 18.163580, 1.444920, 0.032394,810.188715
AS365, 3799276, 3799276, 11368076, 0.000682, 1067424.943328, 1.253078,580.615614
as-caida, 31380, 31380, 106762, 4.973514, 1.373831, 0.016176,422.401576
ASIC_680k, 682863, 682863, 3871773, 2347.035645, 0.105577, 0.298816,829.251047
as-Skitter, 1696416, 1696416, 11095298, 14481.416016, 0.049035, 0.860282,825.426352
astro-ph, 16707, 16707, 121251, 1.419206, 5.467890, 0.019238,403.363264
audikw_1, 943696, 943696, 39297771, 4483.364258, 0.560975, 3.043037,826.495857
auto, 448696, 448696, 3314611, 1013.371216, 0.209336, 0.210029,1010.028685
barrier2-1, 113077, 113077, 3805068, 64.484650, 3.776470, 0.284093,857.199990
barrier2-10, 115626, 115626, 3897557, 67.432625, 3.699154, 0.289907,860.425867
barrier2-11, 115626, 115626, 3897557, 67.431900, 3.699194, 0.290355,859.098247
barrier2-12, 115626, 115626, 3897557, 67.429993, 3.699298, 0.289616,861.291012
barrier2-2, 113077, 113077, 3805068, 64.488182, 3.776263, 0.284115,857.132445
barrier2-3, 113077, 113077, 3805068, 64.488136, 3.776266, 0.286250,850.741313
barrier2-4, 113077, 113077, 3805068, 64.486267, 3.776375, 0.283197,859.912068
barrier2-9, 115626, 115626, 3897557, 67.435829, 3.698978, 0.292464,852.903787
bauru5727, 40367, 40367, 145019, 8.226278, 1.128240, 0.022902,405.250816
bbmat, 38745, 38745, 1771722, 7.610570, 14.899043, 0.080013,1417.150886
bcsstk17, 10975, 10975, 219812, 0.616778, 22.808818, 0.018966,741.731037
bcsstk18, 11949, 11949, 80519, 0.728986, 7.069023, 0.015046,342.488307
bcsstk25, 15440, 15440, 133840, 1.214064, 7.055443, 0.016896,506.969682
bcsstk29, 13993, 13993, 316740, 1.001459, 20.241823, 0.021910,925.193486
bcsstk30, 28925, 28925, 1036208, 4.245053, 15.622259, 0.067408,983.819585
bcsstk31, 35589, 35589, 608502, 6.407385, 6.078006, 0.037821,1029.701297
bcsstk32, 44610, 44610, 1029655, 10.058820, 6.551258, 0.059238,1112.419008
bcsstk35, 30238, 30238, 740200, 4.628304, 10.235456, 0.044314,1069.035224
bcsstk36, 23053, 23053, 583096, 2.698003, 13.831764, 0.034490,1082.011540
bcsstk37, 25504, 25504, 583240, 3.294711, 11.329481, 0.032944,1133.054889
bcsstk39, 46773, 46773, 1068033, 11.049536, 6.186152, 0.053824,1269.955968
bcsstm36, 23053, 23053, 166389, 2.687571, 3.962275, 0.020598,516.976862
belgium_osm, 1441296, 1441296, 1549970, 10453.291016, 0.009490, 0.323315,306.815401
BenElechi1, 245875, 245875, 6698185, 304.467743, 1.407978, 0.347194,1234.711243
blockqp1, 60013, 60013, 340022, 18.161053, 1.198246, 0.025120,866.298122
bloweya, 30005, 30005, 80005, 4.551373, 1.125006, 0.013302,384.916987
bloweybl, 30004, 30004, 70001, 4.550864, 0.984443, 0.012771,350.794297
bmw3_2, 227363, 227363, 5757996, 260.393341, 1.415212, 0.399430,922.593146
bmw7st_1, 141348, 141348, 3740507, 100.701874, 2.377239, 0.264269,905.867226
bmwcra_1, 148771, 148771, 5396386, 111.603897, 3.094594, 0.390557,884.298300
bone010, 986704, 986704, 36326514, 4900.538086, 0.474417, 3.082157,754.308454
boneS01, 127225, 127225, 3421188, 81.596344, 2.683405, 0.271853,805.421277
boneS10, 914899, 914899, 28191660, 4213.447754, 0.428216, 2.268784,795.256965
boyd1, 93280, 93280, 652246, 43.827660, 0.952452, 0.034163,1221.892064
boyd2, 466317, 466317, 890091, 1094.460205, 0.052049, 0.135789,419.517845
brack2, 62632, 62632, 366559, 19.783606, 1.185819, 0.032019,732.678372
brainpc2, 27608, 27608, 96601, 3.854509, 1.603956, 0.013021,474.814449
bratu3d, 27793, 27793, 88627, 3.902032, 1.453634, 0.012256,462.804170
Bump_2911, 2911420, 2911420, 65320659, 0.000630, 6631538.944110, 2.670147,1565.652366
bundle1, 10582, 10582, 390741, 0.576640, 43.367482, 0.029696,842.114235
bundle_adj, 513352, 513352, 10360701, 1326.568359, 0.499850, 0.594794,1114.815051
c-42, 10472, 10472, 60378, 0.560938, 6.888809, 0.016646,232.133793
c-43, 11126, 11126, 67400, 0.631414, 6.831646, 0.015574,276.967329
c-45, 13207, 13207, 93829, 0.888058, 6.762012, 0.015402,389.898185
c-46, 14914, 14914, 72655, 1.133187, 4.103400, 0.015770,294.866083
c-47, 15344, 15344, 113372, 1.197395, 6.059660, 0.018070,401.530021
c-48, 18355, 18355, 92217, 1.708771, 3.453879, 0.019318,305.506041
c-49, 21133, 21133, 89087, 2.264179, 2.518161, 0.019949,285.810075
c-50, 22402, 22402, 108013, 2.544199, 2.717096, 0.019898,347.420401
c-51, 23197, 23197, 113123, 2.724106, 2.657706, 0.021325,339.504803
c-52, 23949, 23949, 113332, 2.904816, 2.496973, 0.020240,358.362057
c-53, 30236, 30236, 201224, 4.619616, 2.787750, 0.020653,623.563702
c-54, 31794, 31794, 211743, 5.109392, 2.652283, 0.022675,597.637600
c-55, 32781, 32781, 218115, 5.431930, 2.569871, 0.023606,591.337937
c-56, 35911, 35911, 208405, 6.516365, 2.046834, 0.025190,529.484225
c-57, 37834, 37834, 221515, 7.229613, 1.960957, 0.022758,622.933059
c-58, 37596, 37596, 295076, 7.136317, 2.646304, 0.026378,715.943213
c-59, 41283, 41283, 260909, 8.607584, 1.939938, 0.024877,671.234881
c-60, 43641, 43641, 171109, 9.611661, 1.139343, 0.025178,434.949144
c-61, 43619, 43619, 176817, 9.606762, 1.177950, 0.023674,478.012977
c-62, 41732, 41732, 300537, 8.795107, 2.186940, 0.026515,725.409104
c-62ghs, 41732, 41732, 300537, 8.795056, 2.186952, 0.027053,710.993642
c-63, 44235, 44235, 239469, 9.877648, 1.551586, 0.025379,603.881002
c-64, 51036, 51036, 384438, 13.135513, 1.873093, 0.030256,813.195131
c-64b, 51036, 51036, 384438, 13.135872, 1.873041, 0.030074,818.127234
c-65, 48067, 48067, 204297, 11.660535, 1.121304, 0.025414,514.472399
c-66, 49990, 49990, 274498, 12.611843, 1.392966, 0.028707,611.967445
c-66b, 49990, 49990, 274498, 12.611600, 1.392993, 0.028790,610.198967
c-67b, 57976, 57976, 294955, 16.948910, 1.113766, 0.028477,662.894741
c-68, 64811, 64811, 315408, 21.180803, 0.953038, 0.031373,643.427163
c-69, 67459, 67459, 345714, 22.947649, 0.964181, 0.034701,637.613445
c-70, 68925, 68925, 363955, 23.946453, 0.972717, 0.033504,695.233996
c-71, 76639, 76639, 468096, 29.603018, 1.011996, 0.036819,813.655512
c-73, 169423, 169423, 724348, 144.553101, 0.320701, 0.055059,841.971397
c-73b, 169423, 169423, 724348, 144.550690, 0.320706, 0.056320,823.122732
ca-AstroPh, 18773, 18773, 198110, 1.787824, 7.091884, 0.020413,621.131847
ca-CondMat, 23134, 23134, 93497, 2.706167, 2.211175, 0.018349,326.114412
cage14, 1505786, 1505786, 27130349, 11411.126953, 0.152162, 1.286406,1349.761869
cage15, 5154860, 5154860, 99199551, 0.000557, 11402247.195668, 4.940192,1285.126413
ca-HepPh, 12009, 12009, 118521, 0.735030, 10.319769, 0.015728,482.282814
caidaRouterLevel, 192245, 192245, 609066, 186.096497, 0.209462, 0.062531,623.372426
cant, 62452, 62452, 2034917, 19.710270, 6.607454, 0.167091,779.422770
case39, 40217, 40217, 526139, 8.166397, 4.123348, 0.043325,777.219860
case9, 14455, 14455, 75801, 1.060256, 4.575559, 0.010013,484.506220
c-big, 345242, 345242, 1343126, 599.991211, 0.143269, 0.117222,733.307463
cbuckle, 13682, 13682, 345098, 0.956611, 23.088035, 0.020576,1073.399678
ccc, 49153, 49153, 73728, 12.191011, 0.387055, 0.014778,319.307075
cfd1, 70657, 70657, 949510, 25.183472, 2.413037, 0.049568,1225.965128
Chebyshev4, 68122, 68122, 5377761, 23.410404, 14.701870, 0.143734,2394.532657
circuit_4, 80210, 80210, 307604, 32.422844, 0.607185, 0.036096,545.397153
circuit5M, 5558327, 5558327, 59524291, 0.000595, 6400461.234053, 4.490649,848.330447
circuit5M_dc, 3523318, 3523318, 19194193, 0.000608, 2020441.303404, 1.303306,942.548185
citationCiteseer, 268496, 268496, 1156647, 362.933624, 0.203964, 0.106253,696.691353
cit-Patents, 3774769, 3774769, 16518948, 0.000678, 1558391.328032, 1.495498,706.930366
ckt11752_dc_1, 49703, 49703, 333029, 12.468081, 1.709474, 0.030595,696.640490
ckt11752_tr_0, 49703, 49703, 333029, 12.468105, 1.709470, 0.030669,694.968674
cnr-2000, 325558, 325558, 3216152, 533.569824, 0.385767, 0.257238,800.167154
CO, 221120, 221120, 3943588, 246.211227, 1.025094, 0.183210,1377.600490
coAuthorsCiteseer, 227321, 227321, 814134, 260.169861, 0.200271, 0.079971,651.541753
coAuthorsDBLP, 299068, 299068, 977676, 450.243469, 0.138972, 0.100819,620.628487
cond-mat-2003, 31164, 31164, 120029, 4.906653, 1.565600, 0.019296,398.106148
cond-mat-2005, 40422, 40422, 175693, 8.251085, 1.362773, 0.023894,470.585253
conf5_4-8x8-05, 49153, 49153, 1916928, 12.234269, 10.027848, 0.177030,693.007497
conf5_4-8x8-10, 49153, 49153, 1916928, 12.234925, 10.027310, 0.177242,692.181702
conf5_4-8x8-15, 49153, 49153, 1916928, 12.235060, 10.027200, 0.177107,692.706959
conf5_4-8x8-20, 49153, 49153, 1916928, 12.234448, 10.027701, 0.177299,691.956822
conf6_0-8x8-20, 49153, 49153, 1916928, 12.234278, 10.027841, 0.177149,692.544321
conf6_0-8x8-30, 49153, 49153, 1916928, 12.234352, 10.027780, 0.177174,692.444231
conf6_0-8x8-80, 49153, 49153, 1916928, 12.240118, 10.023056, 0.178979,685.461752
consph, 83335, 83335, 3046907, 35.076794, 5.559289, 0.266074,732.887599
cont-201, 80596, 80596, 239596, 32.734692, 0.468437, 0.024442,627.378899
cont-300, 180896, 180896, 539396, 164.758453, 0.209527, 0.067952,508.025422
coPapersCiteseer, 434103, 434103, 16036720, 948.913452, 1.081606, 0.857552,1196.837198
coPapersDBLP, 540487, 540487, 15245729, 1470.794678, 0.663401, 0.942634,1035.106988
copter1, 17223, 17223, 114143, 1.507974, 4.844347, 0.013184,554.092210
CoupCons3D, 416801, 416801, 22322336, 875.143433, 1.632452, 1.622755,880.372756
crankseg_1, 52805, 52805, 5333507, 14.200195, 24.038011, 0.236477,1443.458487
crankseg_2, 63839, 63839, 7106348, 20.722000, 21.947991, 0.296922,1531.738531
crplat2, 18011, 18011, 489478, 1.651427, 18.969405, 0.031578,992.051104
crystk02, 13966, 13966, 491274, 1.002432, 31.365257, 0.045568,689.991554
crystk03, 24697, 24697, 887937, 3.103558, 18.310585, 0.072022,789.031832
crystm02, 13966, 13966, 168435, 0.995859, 10.824662, 0.012778,843.651410
crystm03, 24697, 24697, 304233, 3.088470, 6.304387, 0.020038,971.679946
ct2010, 67579, 67579, 168176, 23.013561, 0.467692, 0.023258,462.784815
ct20stif, 52330, 52330, 1375396, 13.837293, 6.361457, 0.093997,936.471720
Cube_Coup_dt0, 2164761, 2164761, 64685452, 0.000576, 7187272.335486, 5.062813,817.701362
Cube_Coup_dt6, 2164761, 2164761, 64685452, 0.000662, 6249801.986922, 5.060851,818.018292
CurlCurl_0, 11084, 11084, 62213, 0.627978, 6.340404, 0.009398,423.649981
CurlCurl_4, 2380516, 2380516, 14448191, 0.000717, 1290017.035877, 0.959971,963.241593
cvxqp3, 17501, 17501, 69981, 1.553549, 2.882937, 0.010003,447.735117
cyl6, 13682, 13682, 363961, 0.957059, 24.338624, 0.020835,1117.988023
darcy003, 389875, 389875, 1167685, 765.129700, 0.097672, 0.127066,588.135897
dawson5, 51538, 51538, 531157, 13.404921, 2.535938, 0.033379,1018.420091
dblp-2010, 326187, 326187, 807700, 535.594604, 0.096515, 0.095242,542.754425
dc3, 116836, 116836, 766396, 68.771996, 0.713217, 0.047846,1025.141771
de2010, 24116, 24116, 58028, 2.941315, 1.262630, 0.013936,266.489101
debr, 1048577, 1048577, 2097149, 5533.417480, 0.024256, 0.301197,445.614099
delaunay_n15, 32769, 32769, 98274, 5.427949, 1.158732, 0.014019,448.637291
delaunay_n16, 65537, 65537, 196575, 21.655556, 0.580950, 0.021456,586.353462
delaunay_n17, 131073, 131073, 393176, 86.527885, 0.290811, 0.038342,656.277726
delaunay_n18, 262145, 262145, 786396, 345.980927, 0.145469, 0.083104,605.618773
