dataSet,num_nodes,num_edges,sputnik,cusparse,rode,gespmm,advisor,tcgnn,dtc
144,144650,1074393,0.662547,0.407229,0.23887,0.3763,0.6169,0.5068,0.8799840211868286
2D_27628_bjtcai,27629,442898,0.128986,0.10127,0.050157,0.0947,0.1761,0.1142,0.1718240082263946
2D_54019_highK,54020,996414,0.296784,0.190947,0.104544,0.2193,0.3302,0.8004,0.277843177318573
333SP,3712816,11108633,14.304678,9.035639,6.469773,9.3289,12.5686,10000000.0,16.148571014404297
3D_28984_Tetra,28985,599170,0.265232,0.123453,0.06081,0.1213,0.221,3.9469,0.1829856038093567
3D_51448_3D,51449,1056610,0.447898,0.199779,0.106973,0.2279,0.3472,6.2924,0.3628000020980835
3Dspectralwave,680944,17165766,7.662009,2.83688,2.41593,3.8277,5.0686,10000000.0,5.265168190002441
3Dspectralwave2,292009,7307376,2.897411,1.21032,1.015312,1.6116,2.0394,10000000.0,2.240496158599853
3dtube,45331,1629474,0.373814,0.249978,0.206666,0.3014,0.4555,1.4628,0.3519296050071716
598a,110972,741934,0.484339,0.35104,0.189744,0.2909,0.4983,0.3973,0.6794432401657104
a0nsdsil,80017,200021,0.476234,0.174746,0.099683,0.1324,0.2611,6.5254,0.314624011516571
a2nnsnsl,80017,196115,0.480032,0.173597,0.099661,0.1325,0.2544,6.5797,0.3132384121417999
a5esindl,60009,145004,0.37199,0.126038,0.083651,0.105,0.1913,2.2894,0.2552511990070343
af_0_k101,503626,9027150,4.549901,1.493296,0.938246,1.8847,2.7909,10000000.0,2.2973921298980717
af_1_k101,503626,9027150,4.546838,1.48992,0.94055,1.8876,2.7886,10000000.0,2.300697565078736
af_2_k101,503626,9027150,4.541289,1.489894,0.935914,1.8848,2.7917,10000000.0,2.3041791915893555
af_3_k101,503626,9027150,4.546854,1.490544,0.938832,1.8877,2.7901,10000000.0,2.275884866714477
af_4_k101,503626,9027150,4.540941,1.489827,0.936685,1.8878,2.7914,10000000.0,2.268089771270752
af_5_k101,503626,9027150,4.540061,1.489158,0.936109,1.8883,2.7888,10000000.0,2.276358366012573
af_shell1,504856,9046865,4.654202,1.449488,0.937818,1.892,2.8213,10000000.0,2.232569694519043
af_shell10,1508066,27090195,14.966438,4.256038,2.865702,5.7058,8.1008,10000000.0,6.7600860595703125
af_shell2,504856,9046865,4.655987,1.44831,0.937958,1.8886,2.8252,10000000.0,2.2288126945495605
af_shell3,504856,9046865,4.655981,1.449174,0.937917,1.8919,2.8216,10000000.0,2.2190399169921875
af_shell4,504856,9046865,4.656288,1.449005,0.938592,1.8886,2.8249,10000000.0,2.2190656661987305
af_shell5,504856,9046865,4.65648,1.44905,0.937805,1.8917,2.8218,10000000.0,2.2260096073150635
af_shell6,504856,9046865,4.655536,1.449306,0.938157,1.8921,2.8215,10000000.0,2.231475353240967
af_shell7,504856,9046865,4.65689,1.449094,0.938246,1.8922,2.8212,10000000.0,2.2199392318725586
af_shell8,504856,9046865,4.655705,1.448618,0.93831,1.8913,2.8246,10000000.0,2.2324767112731934
af_shell9,504856,9046865,4.655117,1.447363,0.936685,1.8912,2.8244,10000000.0,2.2263998985290527
ak2010,45293,108549,0.136806,0.099165,0.062579,0.0754,0.1405,0.1679,0.2552704215049743
amazon0505,410236,4878874,2.780941,1.90679,1.34193,1.8104,2.6005,2.9637,2.957648038864136
amazon0505,410236,4878874,2.780941,1.90679,1.34193,1.8104,2.6005,2.9637,2.963088035583496
amazon0505,410236,4878874,2.780941,1.90679,1.34193,1.8111,2.6009,2.9675,2.957648038864136
