dataSet,rows_,columns_,nonzeros_,sputnik,Sputnik_gflops,cusparse,cuSPARSE_gflops,rode,ours_gflops
144, 144650, 144650, 1074393, 0.662547, 830.264184, 0.407229, 1350.811168, 0.238870, 2302.877216
2D_27628_bjtcai, 27629, 27629, 442898, 0.128986, 1758.055035, 0.101270, 2239.191044, 0.050157, 4521.097184
2D_54019_highK, 54020, 54020, 996414, 0.296784, 1718.973986, 0.190947, 2671.754134, 0.104544, 4879.897347
333SP, 3712816, 3712816, 11108633, 14.304678, 397.605592, 9.035639, 629.465216, 6.469773, 879.106579
3D_28984_Tetra, 28985, 28985, 599170, 0.265232, 1156.629104, 0.123453, 2484.958248, 0.060810, 5044.845521
3D_51448_3D, 51449, 51449, 1056610, 0.447898, 1207.830422, 0.199779, 2707.911126, 0.106973, 5057.213717
3Dspectralwave, 680944, 680944, 17165766, 7.662009, 1147.071440, 2.836880, 3098.076914, 2.415930, 3637.884224
3Dspectralwave2, 292009, 292009, 7307376, 2.897411, 1291.282566, 1.210320, 3091.229199, 1.015312, 3684.952504
3dtube, 45331, 45331, 1629474, 0.373814, 2231.831373, 0.249978, 3337.461940, 0.206666, 4036.911041
598a, 110972, 110972, 741934, 0.484339, 784.306156, 0.351040, 1082.127968, 0.189744, 2002.014381
a0nsdsil, 80017, 80017, 200021, 0.476234, 215.043115, 0.174746, 586.056271, 0.099683, 1027.362190
a2nnsnsl, 80017, 80017, 196115, 0.480032, 209.175382, 0.173597, 578.414351, 0.099661, 1007.526310
a5esindl, 60009, 60009, 145004, 0.371990, 199.580551, 0.126038, 589.043102, 0.083651, 887.519192
af_0_k101, 503626, 503626, 9027150, 4.549901, 1015.824517, 1.493296, 3095.100327, 0.938246, 4926.105337
af_1_k101, 503626, 503626, 9027150, 4.546838, 1016.508707, 1.489920, 3102.113311, 0.940550, 4914.038300
af_2_k101, 503626, 503626, 9027150, 4.541289, 1017.750747, 1.489894, 3102.166724, 0.935914, 4938.384252
af_3_k101, 503626, 503626, 9027150, 4.546854, 1016.505125, 1.490544, 3100.814667, 0.938832, 4923.032891
af_4_k101, 503626, 503626, 9027150, 4.540941, 1017.828892, 1.489827, 3102.306721, 0.936685, 4934.318144
af_5_k101, 503626, 503626, 9027150, 4.540061, 1018.026189, 1.489158, 3103.699833, 0.936109, 4937.354396
af_shell1, 504856, 504856, 9046865, 4.654202, 995.228692, 1.449488, 3195.607669, 0.937818, 4939.121435
af_shell10, 1508066, 1508066, 27090195, 14.966438, 926.752215, 4.256038, 3258.941512, 2.865702, 4840.062825
af_shell2, 504856, 504856, 9046865, 4.655987, 994.847003, 1.448310, 3198.205964, 0.937958, 4938.379704
af_shell3, 504856, 504856, 9046865, 4.655981, 994.848389, 1.449174, 3196.299125, 0.937917, 4938.599137
af_shell4, 504856, 504856, 9046865, 4.656288, 994.782697, 1.449005, 3196.673158, 0.938592, 4935.046422
af_shell5, 504856, 504856, 9046865, 4.656480, 994.741705, 1.449050, 3196.574487, 0.937805, 4939.188740
af_shell6, 504856, 504856, 9046865, 4.655536, 994.943437, 1.449306, 3196.009720, 0.938157, 4937.335531
af_shell7, 504856, 504856, 9046865, 4.656890, 994.654191, 1.449094, 3196.475612, 0.938246, 4936.863790
af_shell8, 504856, 504856, 9046865, 4.655705, 994.907160, 1.448618, 3197.527786, 0.938310, 4936.527102
af_shell9, 504856, 504856, 9046865, 4.655117, 995.033041, 1.447363, 3200.298947, 0.936685, 4945.094533
ak2010, 45293, 45293, 108549, 0.136806, 406.246244, 0.099165, 560.451763, 0.062579, 888.107960
amazon0505, 410236, 410236, 4878874, 2.780941, 898.251222, 1.906790, 1310.046217, 1.341930, 1861.486205
Andrews, 60001, 60001, 410077, 0.241830, 868.209402, 0.176125, 1192.105966, 0.097994, 2142.583018
AS365, 3799276, 3799276, 11368076, 15.281351, 380.886155, 9.857200, 590.477518, 7.519626, 774.035175
as-caida, 31380, 31380, 106762, 0.213341, 256.219824, 0.075709, 722.005151, 0.059107, 924.796673
as-Skitter, 1696416, 1696416, 11095298, 7.436307, 763.926526, 3.748861, 1515.338307, 2.979702, 1906.496642
astro-ph, 16707, 16707, 121251, 0.056294, 1102.783093, 0.047795, 1298.885904, 0.023990, 2587.723075
auto, 448696, 448696, 3314611, 2.374912, 714.586806, 1.484662, 1143.075213, 0.871274, 1947.816170
barrier2-1, 113077, 113077, 3805068, 1.021888, 1906.466142, 0.685469, 2842.134855, 0.621219, 3136.082719
barrier2-10, 115626, 115626, 3897557, 1.123555, 1776.102512, 0.699565, 2852.558062, 0.638906, 3123.386490
barrier2-11, 115626, 115626, 3897557, 1.128208, 1768.777776, 0.698816, 2855.614562, 0.638928, 3123.277166
barrier2-12, 115626, 115626, 3897557, 1.121360, 1779.579400, 0.700621, 2848.258573, 0.638970, 3123.073689
barrier2-2, 113077, 113077, 3805068, 1.019629, 1910.690239, 0.685341, 2842.665803, 0.621341, 3135.469002
barrier2-3, 113077, 113077, 3805068, 1.019101, 1911.680267, 0.684723, 2845.229802, 0.620918, 3137.601918
barrier2-4, 113077, 113077, 3805068, 1.019382, 1911.152136, 0.685142, 2843.488820, 0.621114, 3136.616005
barrier2-9, 115626, 115626, 3897557, 1.126368, 1771.667078, 0.699408, 2853.197511, 0.639053, 3122.667049
bauru5727, 40367, 40367, 145019, 0.132109, 562.034705, 0.096128, 772.404803, 0.058739, 1264.057588
bbmat, 38745, 38745, 1771722, 0.312560, 2902.232004, 0.270214, 3357.044240, 0.169850, 5340.734818
bcsstk17, 10975, 10975, 219812, 0.058432, 1926.063498, 0.050646, 2222.146944, 0.026512, 4245.011472
bcsstk18, 11949, 11949, 80519, 0.042154, 977.988313, 0.039837, 1034.865448, 0.018131, 2273.745212
bcsstk25, 15440, 15440, 133840, 0.060480, 1133.037063, 0.050262, 1363.366719, 0.023315, 2939.116087
bcsstk29, 13993, 13993, 316740, 0.077050, 2104.759502, 0.063331, 2560.679149, 0.033091, 4900.725357
bcsstk30, 28925, 28925, 1036208, 0.215645, 2460.242601, 0.169062, 3138.122353, 0.119478, 4440.455144
bcsstk31, 35589, 35589, 608502, 0.189018, 1648.275158, 0.126778, 2457.476880, 0.076813, 4056.004116
bcsstk32, 44610, 44610, 1029655, 0.271811, 1939.520379, 0.182048, 2895.848145, 0.120490, 4375.343363
bcsstk35, 30238, 30238, 740200, 0.175869, 2154.915516, 0.138502, 2736.287698, 0.086643, 4374.058150
bcsstk36, 23053, 23053, 583096, 0.134550, 2218.835038, 0.107184, 2785.351719, 0.060829, 4907.957363
bcsstk37, 25504, 25504, 583240, 0.140346, 2127.739564, 0.109274, 2732.763251, 0.060336, 4949.265469
bcsstk39, 46773, 46773, 1068033, 0.287878, 1899.527395, 0.193494, 2826.091538, 0.110858, 4932.750364
bcsstm36, 23053, 23053, 166389, 0.076374, 1115.441409, 0.055376, 1538.413197, 0.031696, 2687.757639
belgium_osm, 1441296, 1441296, 1549970, 4.944074, 160.512307, 2.476224, 320.481773, 1.869619, 424.463254
BenElechi1, 245875, 245875, 6698185, 2.113917, 1622.330053, 0.960896, 3569.034178, 0.726230, 4722.290337
blockqp1, 60013, 60013, 340022, 1.845302, 94.342946, 0.149910, 1161.302093, 0.090570, 1922.182154
bloweya, 30005, 30005, 80005, 0.439715, 93.157026, 0.070403, 581.828096, 0.059114, 692.946487
bloweybl, 30004, 30004, 70001, 0.436890, 82.035626, 0.070349, 509.468710, 0.056125, 638.586003
bmw3_2, 227363, 227363, 5757996, 1.695754, 1738.515449, 0.878022, 3357.652383, 0.773418, 3811.775025
bmw7st_1, 141348, 141348, 3740507, 0.977437, 1959.348705, 0.577818, 3314.436321, 0.499066, 3837.450673
bmwcra_1, 148771, 148771, 5396386, 1.194688, 2312.695493, 0.793373, 3482.536276, 0.712627, 3877.131765
bone010, 986704, 986704, 36326514, 8.096032, 2297.319882, 5.192275, 3582.085755, 5.622877, 3307.768608
boneS01, 127225, 127225, 3421188, 0.892106, 1963.498824, 0.530490, 3301.946535, 0.491862, 3561.256732
boneS10, 914899, 914899, 28191660, 9.725139, 1484.208106, 4.044169, 3569.120806, 4.147760, 3479.981939
boyd1, 93280, 93280, 652246, 5.213363, 64.056528, 0.395856, 843.614731, 0.316157, 1056.279542
boyd2, 466317, 466317, 890091, 1.917334, 237.687594, 0.959450, 474.987537, 0.711318, 640.678764
brack2, 62632, 62632, 366559, 0.246730, 760.663563, 0.161667, 1160.892274, 0.100157, 1873.843968
brainpc2, 27608, 27608, 96601, 0.077616, 637.236032, 0.058118, 851.016365, 0.030243, 1635.399425
bratu3d, 27793, 27793, 88627, 0.082144, 552.408271, 0.073674, 615.919733, 0.036832, 1232.000039
Bump_2911, 2911420, 2911420, 65320659, 26.092346, 1281.761983, 10.704842, 3124.210391, 6.269629, 5334.315301
bundle1, 10582, 10582, 390741, 0.061389, 3258.890608, 0.066202, 3021.972274, 0.039482, 5067.154987
bundle_adj, 513352, 513352, 10360701, 2.868445, 1849.322276, 1.442384, 3677.716246, 1.260115, 4209.677603
c-42, 10472, 10472, 60378, 0.046493, 664.910178, 0.035312, 875.439966, 0.024899, 1241.547379
c-43, 11126, 11126, 67400, 0.036944, 934.084046, 0.036957, 933.760523, 0.016150, 2136.714874
c-45, 13207, 13207, 93829, 0.043603, 1101.764281, 0.040074, 1198.805386, 0.018672, 2572.860343
c-46, 14914, 14914, 72655, 0.046906, 793.068614, 0.043264, 859.822512, 0.019501, 1907.581279
c-47, 15344, 15344, 113372, 0.059786, 970.910477, 0.046310, 1253.421754, 0.030358, 1912.039574
c-48, 18355, 18355, 92217, 0.073699, 640.646084, 0.057648, 819.024187, 0.037571, 1256.683393
c-49, 21133, 21133, 89087, 0.096970, 470.379838, 0.059296, 769.234754, 0.046589, 979.045278
c-50, 22402, 22402, 108013, 0.098829, 559.580374, 0.061472, 899.639790, 0.048752, 1134.366897
c-51, 23197, 23197, 113123, 0.106970, 541.452700, 0.066989, 864.606834, 0.051834, 1117.402153
c-52, 23949, 23949, 113332, 0.108550, 534.553360, 0.067926, 854.247881, 0.050291, 1153.799984
c-53, 30236, 30236, 201224, 0.109667, 939.448464, 0.083341, 1236.209494, 0.046899, 2196.768583
c-54, 31794, 31794, 211743, 0.142205, 762.368205, 0.086496, 1253.380667, 0.057683, 1879.445257
c-55, 32781, 32781, 218115, 0.177363, 629.639502, 0.091648, 1218.519547, 0.068090, 1640.116590
c-56, 35911, 35911, 208405, 0.137350, 776.869646, 0.092560, 1152.802084, 0.061485, 1735.442856
c-57, 37834, 37834, 221515, 0.128400, 883.299662, 0.094890, 1195.238267, 0.055696, 2036.334435
c-58, 37596, 37596, 295076, 0.275501, 548.379217, 0.106378, 1420.213557, 0.071232, 2120.941511
c-59, 41283, 41283, 260909, 0.205251, 650.838643, 0.110429, 1209.697200, 0.082134, 1626.424556
c-60, 43641, 43641, 171109, 0.183930, 476.311637, 0.109648, 798.991382, 0.076272, 1148.623470
